,BikeID,Latitude,Longitude,Timestamp
0,2523,-77.01392,38.89225,1602258563
1,2523,-77.01503,38.89225,1602258848
2,2523,-77.01502,38.88893,1602259133
3,2523,-77.01764,38.88888,1602259419
4,2523,-77.01765,38.88441,1602259704
5,2523,-77.02206,38.88565,1602259989
6,2523,-77.02286,38.88577,1602260274
7,2523,-77.02324,38.88575,1602260560
8,2523,-77.02386,38.8856,1602260845
9,2523,-77.02388,38.88484,1602261130
10,2523,-77.02651,38.88486,1602261415
11,2523,-77.02812,38.88447,1602261701
12,2523,-77.02812,38.88598,1602261986
13,2523,-77.02826,38.88598,1602262271
14,2523,-77.02826,38.88628,1602262556
15,1857,-77.02277,38.90857,1604136517
16,1857,-77.02389,38.90857,1604136583
17,1857,-77.0239,38.90211,1604136649
18,1857,-77.0243,38.90213,1604136715
19,1857,-77.03374,38.89876,1604136781
20,1857,-77.03371,38.89121,1604136847
21,1857,-77.03299,38.88986,1604136913
22,1857,-77.03294,38.88936,1604136979
23,1857,-77.03311,38.88879,1604137045
24,1857,-77.03241,38.88859,1604137111
25,727,-77.02277,38.90857,1603905179
26,727,-77.02389,38.90857,1603905249
27,727,-77.0239,38.90211,1603905318
28,727,-77.0243,38.90213,1603905388
29,727,-77.03374,38.89876,1603905458
30,727,-77.03374,38.89551,1603905527
31,727,-77.03345,38.89552,1603905597
32,727,-77.03347,38.89225,1603905667
33,185,-77.04443,38.91002,1602411898
34,185,-77.04488,38.91015,1602412014
35,185,-77.04489,38.91115,1602412130
36,185,-77.03463,38.91114,1602412247
37,185,-77.03467,38.90725,1602412363
38,185,-77.02389,38.90725,1602412479
39,185,-77.0239,38.89726,1602412596
40,185,-77.02213,38.89721,1602412712
41,185,-77.02177,38.89734,1602412828
42,185,-77.02006,38.89735,1602412945
43,185,-77.02005,38.89725,1602413061
44,185,-77.01935,38.89724,1602413177
45,98,-77.04935,38.89052,1603197311
46,98,-77.04824,38.89193,1603197452
47,98,-77.04808,38.89192,1603197593
48,98,-77.04806,38.89211,1603197733
49,98,-77.03373,38.8921,1603197874
50,98,-77.03367,38.89106,1603198015
51,98,-77.03352,38.89063,1603198155
52,98,-77.03311,38.89017,1603198296
53,98,-77.03296,38.88977,1603198437
54,98,-77.03295,38.88928,1603198577
55,98,-77.03311,38.88879,1603198718
56,98,-77.03241,38.88859,1603198859
57,1527,-77.06278,38.90375,1603578045
58,1527,-77.06275,38.90259,1603578530
59,1527,-77.05911,38.90258,1603579015
60,1527,-77.05911,38.90227,1603579500
61,1527,-77.05907,38.90227,1603579984
62,380,-77.01935,38.89724,1603463549
63,380,-77.01893,38.89725,1603463576
64,380,-77.01893,38.90252,1603463603
65,380,-77.01957,38.90252,1603463630
66,380,-77.01957,38.90273,1603463656
67,380,-77.01954,38.90281,1603463683
68,380,-77.01912,38.9028,1603463710
69,380,-77.01912,38.90297,1603463737
70,2657,-77.03741,38.8798,1602793699
71,2657,-77.03852,38.87984,1602793791
72,2657,-77.03916,38.87999,1602793883
73,2657,-77.03962,38.87989,1602793975
74,2657,-77.03971,38.88005,1602794067
75,2657,-77.03915,38.88015,1602794159
76,2657,-77.0383,38.87997,1602794251
77,2657,-77.03704,38.87991,1602794343
78,2657,-77.03531,38.88004,1602794434
79,2657,-77.03479,38.8806,1602794526
80,2657,-77.0347,38.88108,1602794618
81,2657,-77.03297,38.88304,1602794710
82,2657,-77.03304,38.88365,1602794802
83,2657,-77.0341,38.88457,1602794894
84,2657,-77.03375,38.88471,1602794986
85,2657,-77.03374,38.88792,1602795078
86,2657,-77.03302,38.88898,1602795169
87,2657,-77.03306,38.89005,1602795261
88,2657,-77.03207,38.89033,1602795353
89,2657,-77.02192,38.89045,1602795445
90,2657,-77.02192,38.89726,1602795537
91,2657,-77.02006,38.89735,1602795629
92,2657,-77.02005,38.89725,1602795721
93,2657,-77.01935,38.89724,1602795813
94,2351,-77.1001,38.99236,1603213847
95,2351,-77.1001,38.99236,1603214593
96,1873,-77.00601,38.88492,1602170616
97,1873,-77.00601,38.88499,1602170649
98,1873,-77.00589,38.88499,1602170682
99,1873,-77.00589,38.88348,1602170714
100,1873,-77.00662,38.88329,1602170747
101,1873,-77.00661,38.88316,1602170780
102,1873,-77.00567,38.8805,1602170812
103,1873,-77.00323,38.88052,1602170845
104,1873,-77.00057,38.87978,1602170878
105,1873,-77.00059,38.87675,1602170911
106,1181,-77.05703,38.90513,1601658376
107,1181,-77.05705,38.9061,1601658452
108,1181,-77.05579,38.90615,1601658528
109,1181,-77.05584,38.90896,1601658604
110,1181,-77.05495,38.91059,1601658680
111,1181,-77.05167,38.91065,1601658756
112,1181,-77.05128,38.91075,1601658832
113,1181,-77.05066,38.9111,1601658908
114,1181,-77.05045,38.91114,1601658984
115,1181,-77.04205,38.91114,1601659060
116,1181,-77.04136,38.91188,1601659136
117,1181,-77.03859,38.91188,1601659212
118,1181,-77.0386,38.9121,1601659288
119,2566,-77.08566,38.90971,1602434607
120,2566,-77.08516,38.91012,1602434636
121,2566,-77.08383,38.91067,1602434665
122,2566,-77.08318,38.91068,1602434694
123,2566,-77.08304,38.9106,1602434724
124,2566,-77.0829,38.91068,1602434753
125,2566,-77.08238,38.91068,1602434782
126,2566,-77.08225,38.9106,1602434811
127,2566,-77.08192,38.91061,1602434841
128,2566,-77.0818,38.91067,1602434870
129,2566,-77.08123,38.9107,1602434899
130,2566,-77.08131,38.91186,1602434928
131,2566,-77.0816,38.91268,1602434957
132,2566,-77.07922,38.9127,1602434987
133,2566,-77.07923,38.91207,1602435016
