,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week
33622,9,34,2,70,2011,0,0,2,2,0
33635,9,4,1,70,2011,1,0,1,0,3
33647,9,13,1,70,2011,1,1,2,0,0
33669,10,18,1,70,2011,0,2,1,1,3
33676,10,4,2,70,2011,1,2,0,1,0
33696,11,4,1,70,2011,2,5,1,1,3
33700,11,13,1,70,2011,0,1,4,1,2
33706,11,34,1,70,2011,0,4,0,3,0
33708,12,13,2,70,2011,1,3,0,1,1
33729,12,4,1,70,2011,1,4,0,1,0
33738,12,34,1,70,2011,1,2,0,1,0
33752,13,4,2,70,2011,1,0,0,0,0
33759,13,34,1,70,2011,1,0,0,0,1
33763,13,13,2,70,2011,2,1,0,1,0
33796,14,13,1,70,2011,2,2,0,0,0
33797,14,34,2,70,2011,1,0,0,1,0
33851,16,13,1,70,2011,0,0,2,1,0
33855,16,34,5,70,2011,0,0,0,1,0
33860,16,18,1,70,2011,0,0,0,0,3
33866,17,4,3,70,2011,0,1,0,0,1
33885,17,34,5,70,2011,5,0,0,2,0
33890,17,13,2,70,2011,1,1,0,0,0
33896,17,18,2,70,2011,1,1,3,0,4
33904,18,34,5,70,2011,5,3,3,3,0
33921,18,13,1,70,2011,2,3,3,0,1
33922,18,4,1,70,2011,3,1,2,0,1
33940,19,34,3,70,2011,5,1,2,0,4
33950,19,13,2,70,2011,1,0,1,0,0
33976,20,18,2,70,2011,0,3,0,0,0
33982,20,4,1,70,2011,0,1,0,0,0
33993,20,13,2,70,2011,2,0,1,2,0
34013,21,13,1,70,2011,2,5,0,0,1
34035,22,34,3,70,2011,0,1,1,0,3
34082,0,34,1,71,2011,0,1,1,1,0
34099,2,18,1,71,2011,0,0,0,0,1
34104,2,34,1,71,2011,0,1,1,3,0
34116,5,4,1,71,2011,0,3,0,2,0
34163,9,18,1,71,2011,0,0,1,0,2
34169,9,4,1,71,2011,0,1,1,1,3
34171,9,34,3,71,2011,0,1,0,0,1
34185,10,4,3,71,2011,1,3,1,1,2
34204,10,18,1,71,2011,1,1,1,1,4
34229,11,34,2,71,2011,0,0,0,2,3
34239,11,18,1,71,2011,1,1,0,1,1
34240,11,13,2,71,2011,0,2,4,1,0
34242,11,4,1,71,2011,3,0,1,1,3
34255,12,18,2,71,2011,1,1,1,2,0
34260,12,34,3,71,2011,2,0,2,1,3
34267,12,13,3,71,2011,2,0,0,0,1
34310,13,4,2,71,2011,0,1,0,1,1
34311,13,18,1,71,2011,2,2,1,1,0
34332,14,4,1,71,2011,2,1,1,1,0
34337,14,13,2,71,2011,0,1,3,0,0
34341,14,34,1,71,2011,0,0,1,0,1
34343,14,18,2,71,2011,1,2,1,0,0
34368,15,4,2,71,2011,1,0,0,1,2
34377,15,34,1,71,2011,1,0,0,1,1
34392,16,18,3,71,2011,0,4,0,0,2
34404,16,4,3,71,2011,2,0,0,1,4
34412,16,34,2,71,2011,1,0,0,0,2
34414,16,13,2,71,2011,0,0,1,0,3
34426,17,4,4,71,2011,3,1,1,0,1
34443,17,34,2,71,2011,2,2,1,4,1
34477,18,13,1,71,2011,0,0,1,0,2
34480,18,34,2,71,2011,2,1,1,0,0
34485,19,4,2,71,2011,0,0,3,0,1
34488,19,18,1,71,2011,0,0,2,0,0
34491,19,13,3,71,2011,1,2,2,0,2
34522,20,13,1,71,2011,3,2,2,0,0
34551,21,34,1,71,2011,0,3,0,0,2
34558,21,13,1,71,2011,1,0,0,0,0
34561,21,4,1,71,2011,0,2,0,0,0
34602,23,34,1,71,2011,0,0,0,0,0
34624,0,34,2,72,2011,1,1,0,0,1
34630,0,13,1,72,2011,0,1,0,1,0
34675,4,34,1,72,2011,0,2,0,0,0
34699,8,4,1,72,2011,0,1,1,1,2
34741,10,18,1,72,2011,0,1,2,0,2
34744,10,4,1,72,2011,0,0,0,0,0
34757,10,13,2,72,2011,0,0,2,0,2
34760,10,34,1,72,2011,0,1,1,0,1
34777,11,13,3,72,2011,2,1,2,2,1
34778,11,34,1,72,2011,1,0,1,3,1
34790,11,4,1,72,2011,1,0,0,6,1
34795,11,18,1,72,2011,1,1,3,3,1
34809,12,13,1,72,2011,3,0,2,1,0
34824,12,18,2,72,2011,1,0,1,1,1
34827,12,34,3,72,2011,1,0,3,1,0
34829,12,4,1,72,2011,1,0,1,1,1
34838,13,4,4,72,2011,1,0,0,1,0
34857,13,13,3,72,2011,1,2,1,1,0
34861,13,18,3,72,2011,2,1,1,0,0
34866,13,34,3,72,2011,3,1,0,0,0
34874,14,34,4,72,2011,3,1,0,2,0
34900,14,4,3,72,2011,4,0,0,0,2
34901,14,13,2,72,2011,3,1,0,0,0
34903,14,18,1,72,2011,3,0,0,0,1
34910,15,13,2,72,2011,2,0,0,0,3
34926,15,4,4,72,2011,3,0,1,1,2
34937,15,18,6,72,2011,1,1,0,2,1
34941,15,34,2,72,2011,4,1,2,1,0
34961,16,13,3,72,2011,2,1,0,2,1
34965,16,34,1,72,2011,2,1,0,4,0
34969,16,4,1,72,2011,4,1,3,4,0
34998,17,34,2,72,2011,1,1,1,2,1
35008,17,18,4,72,2011,0,1,1,0,0
35010,17,13,3,72,2011,3,1,2,1,2
35011,17,4,1,72,2011,1,0,0,0,0
35014,18,18,1,72,2011,4,1,1,0,2
35032,18,34,1,72,2011,2,1,0,0,3
35039,18,4,2,72,2011,1,1,0,0,3
35054,19,18,1,72,2011,1,2,1,3,2
35079,19,4,1,72,2011,2,0,2,1,0
35081,19,13,1,72,2011,0,3,0,0,3
35082,20,4,2,72,2011,1,0,0,3,2
35094,20,13,2,72,2011,1,2,0,5,1
35099,20,34,1,72,2011,0,1,0,1,0
35111,21,34,1,72,2011,1,2,0,1,0
35118,21,4,1,72,2011,2,0,0,0,0
35132,21,13,1,72,2011,2,1,0,0,0
35176,23,4,1,72,2011,0,2,1,0,0
35213,6,18,1,73,2011,0,1,0,1,1
35228,7,13,2,73,2011,0,1,0,2,1
35239,7,34,1,73,2011,0,1,1,2,3
35240,7,18,1,73,2011,1,0,1,2,0
35272,8,13,3,73,2011,2,0,4,2,0
35276,8,34,2,73,2011,1,0,0,5,0
35277,8,18,1,73,2011,1,0,0,0,0
35297,9,34,2,73,2011,2,0,2,0,0
35304,9,13,2,73,2011,3,1,1,0,0
35310,9,4,2,73,2011,0,0,1,0,2
35323,10,34,3,73,2011,2,0,0,1,0
35337,10,18,1,73,2011,0,2,2,1,1
35352,11,13,2,73,2011,0,0,1,1,0
35356,11,4,2,73,2011,0,0,1,0,0
35369,11,34,1,73,2011,3,1,2,0,1
35376,12,13,2,73,2011,2,1,1,0,0
35389,12,34,1,73,2011,1,2,0,0,0
35403,13,18,1,73,2011,0,0,1,1,0
35404,13,34,3,73,2011,1,1,0,1,0
35424,13,4,1,73,2011,0,0,1,3,0
35426,13,13,1,73,2011,2,1,1,0,0
35429,14,18,1,73,2011,1,2,2,0,0
35449,14,13,1,73,2011,1,2,4,1,0
35453,14,34,1,73,2011,3,3,3,0,0
35465,15,13,3,73,2011,1,1,1,1,0
35470,15,34,1,73,2011,1,4,0,0,0
35478,15,4,1,73,2011,0,2,3,0,0
35483,15,18,1,73,2011,1,2,3,1,0
35486,16,34,1,73,2011,1,1,2,0,0
35493,16,4,2,73,2011,1,4,0,0,0
35505,16,13,3,73,2011,3,1,2,0,0
35515,16,18,1,73,2011,1,0,2,0,0
35529,17,18,4,73,2011,1,3,0,0,0
35547,17,34,2,73,2011,1,0,1,0,1
35548,17,4,1,73,2011,2,1,1,1,1
35550,17,13,1,73,2011,3,3,1,2,2
35576,18,34,1,73,2011,2,1,1,0,2
35580,18,18,2,73,2011,4,1,0,0,0
35586,18,4,3,73,2011,1,1,0,0,0
35604,19,34,3,73,2011,1,2,2,0,2
35609,19,18,2,73,2011,2,3,0,0,0
35617,19,13,2,73,2011,0,1,0,0,1
35635,20,4,2,73,2011,0,4,0,0,1
35646,20,13,1,73,2011,2,0,0,0,2
35651,20,18,1,73,2011,2,0,5,0,0
35666,21,13,1,73,2011,1,1,0,0,0
35678,21,18,1,73,2011,1,0,2,0,0
35690,22,4,1,73,2011,0,1,2,0,0
35767,6,13,1,74,2011,0,0,0,0,1
35794,7,34,4,74,2011,0,0,0,0,0
35800,7,13,1,74,2011,1,2,0,0,1
35815,8,4,3,74,2011,0,0,0,0,1
35816,8,18,3,74,2011,0,0,1,0,0
35835,8,34,2,74,2011,4,0,1,0,0
35865,9,34,1,74,2011,2,0,0,0,0
35867,9,4,2,74,2011,3,0,0,0,0
35871,9,13,1,74,2011,0,1,1,0,0
35872,9,18,1,74,2011,3,0,1,0,0
35878,10,13,1,74,2011,1,2,2,0,0
35895,10,18,2,74,2011,1,1,0,0,0
35924,11,4,1,74,2011,0,2,1,0,3
35926,11,34,1,74,2011,0,4,1,0,0
35933,12,34,1,74,2011,1,3,0,0,4
35961,12,4,1,74,2011,1,2,0,0,1
35988,13,4,1,74,2011,1,5,1,0,0
36009,14,34,3,74,2011,0,1,0,0,1
36012,14,18,2,74,2011,0,0,3,0,0
36013,14,4,1,74,2011,1,1,0,0,0
36025,15,18,1,74,2011,2,2,0,0,0
36032,15,34,3,74,2011,3,1,3,0,0
36041,15,4,3,74,2011,1,1,1,0,0
36064,16,18,1,74,2011,1,2,3,0,3
36068,16,34,1,74,2011,3,1,2,0,1
36072,16,13,1,74,2011,0,1,2,0,0
36106,17,4,3,74,2011,0,3,2,0,0
36108,17,34,3,74,2011,1,2,0,0,1
36111,17,18,2,74,2011,1,0,0,0,0
36136,18,4,1,74,2011,3,1,0,0,1
36139,18,34,1,74,2011,3,0,1,0,0
36140,18,13,2,74,2011,0,0,0,0,0
36176,19,13,2,74,2011,2,1,1,0,0
36178,19,34,1,74,2011,1,0,0,0,1
36205,20,34,2,74,2011,1,0,0,0,1
36208,20,4,1,74,2011,0,0,0,0,2
